============================= test session starts =============================
platform win32 -- Python 3.12.6, pytest-8.3.4, pluggy-1.5.0 -- C:\Python312\python.exe
cachedir: .pytest_cache
rootdir: C:\Users\cabra\Projects\LifeOS
configfile: pytest.ini
testpaths: runtime/tests, tests_doc, tests_recursive
runtime/tests/test_attestation_recording.py::TestAttestationRecording::test_attestation_dict_format PASSED [  4%]
runtime/tests/test_backpressure.py::test_compute_thresholds PASSED       [  4%]
runtime/tests/test_backpressure.py::test_backpressure_pause PASSED       [  4%]
runtime/tests/test_backpressure.py::test_backpressure_resume PASSED      [  4%]
runtime/tests/test_baseline_governance.py::TestBaselineMissing::test_raises_when_baseline_missing PASSED [  4%]
runtime/tests/test_baseline_governance.py::TestBaselineMissing::test_error_includes_expected_path PASSED [  5%]
runtime/tests/test_baseline_governance.py::TestBaselineMismatch::test_raises_when_file_hash_mismatch PASSED [  5%]
runtime/tests/test_baseline_governance.py::TestBaselineMismatch::test_raises_when_file_missing PASSED [  5%]
runtime/tests/test_baseline_governance.py::TestBaselineMismatch::test_error_includes_resolution_options PASSED [  5%]
runtime/tests/test_baseline_governance.py::TestBaselineMismatch::test_mismatch_error_contains_full_hashes PASSED [  5%]
runtime/tests/test_baseline_governance.py::TestBaselineValid::test_passes_when_all_hashes_match PASSED [  5%]
runtime/tests/test_budget_txn.py::test_budget_charge_success PASSED      [  5%]
runtime/tests/test_budget_txn.py::test_budget_charge_fail_mission_limit PASSED [  5%]
runtime/tests/test_budget_txn.py::test_budget_charge_repair_success PASSED [  6%]
runtime/tests/test_budget_txn.py::test_budget_charge_repair_fail_limit PASSED [  6%]
runtime/tests/test_budget_txn.py::test_budget_concurrent_access PASSED   [  6%]
runtime/tests/test_build_handoff_scripts.py::TestPackageContext::test_alias_resolution PASSED [  6%]
runtime/tests/test_build_handoff_scripts.py::TestPackageContext::test_caps_enforcement PASSED [  6%]
runtime/tests/test_build_handoff_scripts.py::TestPackageContext::test_packet_shape_architect PASSED [  6%]
runtime/tests/test_build_handoff_scripts.py::TestStewardBlocked::test_grouping_determinism PASSED [  6%]
runtime/tests/test_build_handoff_scripts.py::TestStewardBlocked::test_age_calculation PASSED [  6%]
runtime/tests/test_build_handoff_scripts.py::TestCheckReadiness::test_sha256_hash PASSED [  7%]
runtime/tests/test_build_handoff_scripts.py::TestCheckReadiness::test_success_path_emits_packet PASSED [  7%]
runtime/tests/test_build_handoff_scripts.py::TestCheckReadiness::test_failure_path_emits_packet PASSED [  7%]
runtime/tests/test_build_handoff_scripts.py::TestPackageContextP1::test_council_packet_protected_paths_policy_ref PASSED [  7%]
runtime/tests/test_build_handoff_scripts.py::TestPackageContextP1::test_council_packet_includes_role_prompts PASSED [  7%]
runtime/tests/test_build_handoff_scripts.py::TestPackageContextP1::test_council_packet_includes_procedure_refs PASSED [  7%]
runtime/tests/test_build_handoff_scripts.py::TestPackageContextP1::test_fail_closed_unknown_component PASSED [  7%]
runtime/tests/test_build_handoff_scripts.py::TestPackageContextP1::test_decision_questions_capped PASSED [  8%]
runtime/tests/test_build_handoff_scripts.py::TestProtectedArtefacts::test_gemini_in_protected_artefacts PASSED [  8%]
runtime/tests/test_build_handoff_scripts.py::TestStewardBlockedP3::test_deterministic_ordering_by_created_at PASSED [  8%]
runtime/tests/test_build_handoff_scripts.py::TestStewardBlockedP3::test_deterministic_ordering_same_date_by_path PASSED [  8%]
runtime/tests/test_build_handoff_scripts.py::TestForwardSlashRefs::test_normalize_repo_path PASSED [  8%]
runtime/tests/test_build_handoff_scripts.py::TestForwardSlashRefs::test_council_packet_refs_use_forward_slashes PASSED [  8%]
runtime/tests/test_build_handoff_scripts.py::TestCT3TriggerDecision::test_council_packet_includes_ct3_trigger PASSED [  8%]
runtime/tests/test_build_handoff_scripts.py::TestCT3TriggerDecision::test_ct3_has_rationale PASSED [  8%]
runtime/tests/test_compatibility_matrix.py::test_interface_version_constant PASSED [  9%]
runtime/tests/test_compatibility_matrix.py::test_schema_version_fixture_v1 PASSED [  9%]
runtime/tests/test_compatibility_matrix.py::test_deprecation_warning_emission PASSED [  9%]
runtime/tests/test_compatibility_matrix.py::test_scenario_result_fixture_v1 PASSED [  9%]
runtime/tests/test_dap_gateway.py::TestDAPWriteGateway::test_generate_versioned_name PASSED [  9%]
runtime/tests/test_dap_gateway.py::TestDAPWriteGateway::test_is_in_boundary PASSED [  9%]
runtime/tests/test_dap_gateway.py::TestDAPWriteGateway::test_is_protected PASSED [  9%]
runtime/tests/test_dap_gateway.py::TestDAPWriteGateway::test_pending_index_updates PASSED [  9%]
runtime/tests/test_dap_gateway.py::TestDAPWriteGateway::test_validate_without_write PASSED [ 10%]
runtime/tests/test_dap_gateway.py::TestDAPWriteGateway::test_write_binary PASSED [ 10%]
runtime/tests/test_dap_gateway.py::TestDAPWriteGateway::test_write_in_allowed_root PASSED [ 10%]
runtime/tests/test_dap_gateway.py::TestDAPWriteGateway::test_write_outside_boundary_raises PASSED [ 10%]
runtime/tests/test_dap_gateway.py::TestDAPWriteGateway::test_write_to_protected_raises PASSED [ 10%]
runtime/tests/test_dap_gateway.py::TestIndexReconciler::test_generate_index_content PASSED [ 10%]
runtime/tests/test_dap_gateway.py::TestIndexReconciler::test_reconcile_creates_index PASSED [ 10%]
runtime/tests/test_dap_gateway.py::TestIndexReconciler::test_reconcile_no_change PASSED [ 10%]
runtime/tests/test_dap_gateway.py::TestIndexReconciler::test_scan_directory PASSED [ 11%]
runtime/tests/test_dap_gateway.py::TestIndexReconciler::test_verify_coherence_missing PASSED [ 11%]
runtime/tests/test_dap_gateway.py::TestIndexReconciler::test_verify_coherence_pass PASSED [ 11%]
runtime/tests/test_demo_approval_determinism.py::test_demo_approval_determinism PASSED [ 11%]
runtime/tests/test_determinism_suite.py::TestDeterminismSuite::test_amu0_timestamp_required PASSED [ 11%]
runtime/tests/test_determinism_suite.py::TestDeterminismSuite::test_checkpoint_content_deterministic PASSED [ 11%]
runtime/tests/test_determinism_suite.py::TestDeterminismSuite::test_checkpoint_no_timestamp_deterministic PASSED [ 11%]
runtime/tests/test_determinism_suite.py::TestDeterminismSuite::test_determinism_artifact_generation PASSED [ 11%]
runtime/tests/test_determinism_suite.py::TestDeterminismSuite::test_fsm_error_message_deterministic PASSED [ 12%]
runtime/tests/test_determinism_suite.py::TestDeterminismSuite::test_fsm_state_sequence_deterministic PASSED [ 12%]
runtime/tests/test_determinism_suite.py::TestDeterminismSuite::test_no_time_dependency_in_state PASSED [ 12%]
runtime/tests/test_determinism_suite.py::TestDeterminismSuite::test_strict_mode_deterministic_from_param PASSED [ 12%]
runtime/tests/test_deterministic_gateway.py::TestDeterministicGateway::test_call_returns_stub PASSED [ 12%]
runtime/tests/test_deterministic_gateway.py::TestDeterministicGateway::test_invalid_kind_rejected PASSED [ 12%]
runtime/tests/test_deterministic_gateway.py::TestDeterministicGateway::test_ledger_logging PASSED [ 12%]
runtime/tests/test_deterministic_gateway.py::TestDeterministicGateway::test_non_serializable_args_rejected PASSED [ 12%]
runtime/tests/test_deterministic_gateway.py::TestDeterministicGateway::test_valid_spec_accepted PASSED [ 13%]
runtime/tests/test_detsort_consistency.py::TestDetsortConsistency::test_detsort_dict_stable PASSED [ 13%]
runtime/tests/test_detsort_consistency.py::TestDetsortConsistency::test_detsort_list_stable PASSED [ 13%]
runtime/tests/test_detsort_consistency.py::TestDetsortConsistency::test_detsort_paths_normalizes PASSED [ 13%]
runtime/tests/test_detsort_consistency.py::TestDetsortConsistency::test_detsort_set_deterministic PASSED [ 13%]
runtime/tests/test_enforce_governance.py::TestEnforceGovernance::test_valid_digest PASSED [ 13%]
runtime/tests/test_enforce_governance.py::TestEnforceGovernance::test_placeholder_digest_failure PASSED [ 13%]
runtime/tests/test_enforce_governance.py::TestEnforceGovernance::test_invalid_digest_failure PASSED [ 13%]
runtime/tests/test_enforce_governance.py::TestEnforceGovernance::test_windows_prod_failure PASSED [ 14%]
runtime/tests/test_enforce_governance.py::TestEnforceGovernance::test_windows_dev_success PASSED [ 14%]
runtime/tests/test_enforce_governance.py::TestEnforceGovernance::test_empty_digest_failure PASSED [ 14%]
runtime/tests/test_enforce_governance.py::TestEnforceGovernance::test_malformed_digest_failure PASSED [ 14%]
runtime/tests/test_enforce_governance.py::TestValidateManifestPathContract::test_valid_paths PASSED [ 14%]
runtime/tests/test_enforce_governance.py::TestValidateManifestPathContract::test_backslash_failure PASSED [ 14%]
runtime/tests/test_enforce_governance.py::TestValidateManifestPathContract::test_parent_traversal_failure PASSED [ 14%]
runtime/tests/test_enforce_governance.py::TestValidateManifestPathContract::test_absolute_path_failure PASSED [ 15%]
runtime/tests/test_enforce_governance.py::TestValidateManifestPathContract::test_invalid_chars_failure PASSED [ 15%]
runtime/tests/test_engine.py::test_fsm_determinism PASSED                [ 15%]
runtime/tests/test_engine.py::test_fsm_invalid_transition PASSED         [ 15%]
runtime/tests/test_engine.py::test_fp001_strict_mode_explicit_true PASSED [ 15%]
runtime/tests/test_engine.py::test_fp001_strict_mode_explicit_false PASSED [ 15%]
runtime/tests/test_engine.py::test_fp001_strict_mode_from_env PASSED     [ 15%]
runtime/tests/test_engine.py::test_fp001_force_error_raises_governance_error PASSED [ 15%]
runtime/tests/test_engine.py::test_fp001_validate_history_valid PASSED   [ 16%]
runtime/tests/test_engine.py::test_fp001_validate_history_invalid PASSED [ 16%]
runtime/tests/test_engine.py::test_h002_checkpoint_round_trip PASSED     [ 16%]
runtime/tests/test_envelope_enforcer.py::TestPathContainment::test_path_within_repo_allowed PASSED [ 16%]
runtime/tests/test_envelope_enforcer.py::TestPathContainment::test_traversal_attempt_rejected PASSED [ 16%]
runtime/tests/test_envelope_enforcer.py::TestPathContainment::test_absolute_path_outside_repo_rejected PASSED [ 16%]
runtime/tests/test_envelope_enforcer.py::TestSymlinkRejection::test_symlink_rejected_when_enabled SKIPPED [ 16%]
runtime/tests/test_envelope_enforcer.py::TestSymlinkRejection::test_symlink_allowed_when_disabled SKIPPED [ 16%]
runtime/tests/test_envelope_enforcer.py::TestSymlinkRejection::test_check_symlink_safety PASSED [ 17%]
runtime/tests/test_envelope_enforcer.py::TestDenylist::test_denylisted_path_rejected PASSED [ 17%]
runtime/tests/test_envelope_enforcer.py::TestDenylist::test_denylist_takes_precedence PASSED [ 17%]
runtime/tests/test_envelope_enforcer.py::TestAllowlist::test_path_not_matching_allowlist_rejected PASSED [ 17%]
runtime/tests/test_envelope_enforcer.py::TestAllowlist::test_glob_star_matches_single_level PASSED [ 17%]
runtime/tests/test_envelope_enforcer.py::TestAllowlist::test_glob_doublestar_matches_nested PASSED [ 17%]
runtime/tests/test_envelope_enforcer.py::TestValidatePathAccessFunction::test_validate_path_access_function PASSED [ 17%]
runtime/tests/test_envelope_network_block.py::TestEnvelopeNetworkBlock::test_envelope_network_status PASSED [ 17%]
runtime/tests/test_envelope_network_block.py::TestEnvelopeNetworkBlock::test_network_module_detection PASSED [ 18%]
runtime/tests/test_envelope_single_process.py::TestEnvelopeSingleProcess::test_banned_module_detection PASSED [ 18%]
runtime/tests/test_envelope_single_process.py::TestEnvelopeSingleProcess::test_envelope_status_reports_failure PASSED [ 18%]
runtime/tests/test_freeze_sign.py::test_sign_verify_round_trip PASSED    [ 18%]
runtime/tests/test_freeze_sign.py::test_sign_determinism PASSED          [ 18%]
runtime/tests/test_fsm.py::test_start_task_execution PASSED              [ 18%]
runtime/tests/test_fsm.py::test_transition_to_failed_terminal PASSED     [ 18%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_error_message_format PASSED [ 18%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_error_state_is_terminal PASSED [ 19%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_illegal_amendment_exec_to_init PASSED [ 19%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_illegal_amendment_prep_to_complete PASSED [ 19%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_illegal_init_to_complete PASSED [ 19%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_illegal_init_to_freeze_activated PASSED [ 19%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_illegal_init_to_gates PASSED [ 19%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_illegal_skip_amendment_exec PASSED [ 19%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_illegal_skip_ceo_review PASSED [ 19%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_legal_amendment_exec_to_verify PASSED [ 20%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_legal_amendment_prep_to_exec PASSED [ 20%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_legal_amendment_verify_to_ceo_review PASSED [ 20%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_legal_capture_to_migration PASSED [ 20%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_legal_ceo_final_to_complete PASSED [ 20%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_legal_ceo_review_to_freeze_prep PASSED [ 20%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_legal_freeze_activated_to_capture PASSED [ 20%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_legal_freeze_prep_to_activated PASSED [ 20%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_legal_gates_to_ceo_final PASSED [ 21%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_legal_init_to_amendment_prep PASSED [ 21%]
runtime/tests/test_fsm_transitions.py::TestFSMTransitions::test_legal_migration_to_gates PASSED [ 21%]
runtime/tests/test_governance_override_protected_surface.py::TestGovernanceOverrideProtocol::test_apply_with_council_key_succeeds PASSED [ 21%]
runtime/tests/test_governance_override_protected_surface.py::TestGovernanceOverrideProtocol::test_apply_without_council_key_fails PASSED [ 21%]
runtime/tests/test_governance_override_protected_surface.py::TestGovernanceOverrideProtocol::test_prepare_request_no_write PASSED [ 21%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_add_protected_path PASSED [ 21%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_get_protected_paths PASSED [ 22%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_init_without_registry PASSED [ 22%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_is_not_protected PASSED [ 22%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_is_protected_exact_match PASSED [ 22%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_is_protected_subdirectory PASSED [ 22%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_remove_protected_path PASSED [ 22%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_save_registry PASSED [ 22%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_validate_mission_scope_exceeds_ceiling PASSED [ 22%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_validate_mission_scope_valid PASSED [ 23%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_validate_scope_exceeds_directories PASSED [ 23%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_validate_scope_exceeds_files PASSED [ 23%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_validate_scope_or_raise PASSED [ 23%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_validate_scope_protected_violations PASSED [ 23%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_validate_scope_within_ceiling PASSED [ 23%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_validate_write_allowed PASSED [ 23%]
runtime/tests/test_governance_protection.py::TestGovernanceProtector::test_validate_write_protected_raises PASSED [ 23%]
runtime/tests/test_governance_surface_immutable.py::TestGovernanceSurfaceImmutable::test_missing_surface_fails PASSED [ 24%]
runtime/tests/test_governance_surface_immutable.py::TestGovernanceSurfaceImmutable::test_valid_surfaces_pass PASSED [ 24%]
runtime/tests/test_index_atomic_write.py::TestIndexAtomicWrite::test_atomic_write_creates_file PASSED [ 24%]
runtime/tests/test_index_atomic_write.py::TestIndexAtomicWrite::test_atomic_write_json PASSED [ 24%]
runtime/tests/test_index_atomic_write.py::TestIndexAtomicWrite::test_index_updater_atomic PASSED [ 24%]
runtime/tests/test_invariants.py::test_invariant_success PASSED          [ 24%]
runtime/tests/test_invariants.py::test_invariant_failure PASSED          [ 24%]
runtime/tests/test_llm_call_operation.py::TestLLMCallStoresResult::test_llm_call_stores_result_in_state PASSED [ 24%]
runtime/tests/test_llm_call_operation.py::TestLLMCallStoresResult::test_llm_call_default_output_key PASSED [ 25%]
runtime/tests/test_llm_call_operation.py::TestLLMCallValidation::test_llm_call_with_missing_prompt_fails PASSED [ 25%]
runtime/tests/test_llm_call_operation.py::TestLLMCallValidation::test_llm_call_with_empty_prompt_fails PASSED [ 25%]
runtime/tests/test_llm_call_operation.py::TestLLMCallCustomOutputKey::test_llm_call_with_custom_output_key PASSED [ 25%]
runtime/tests/test_llm_call_operation.py::TestLLMCallCustomOutputKey::test_multiple_llm_calls_different_keys PASSED [ 25%]
runtime/tests/test_llm_call_operation.py::TestMixedOperationWorkflows::test_workflow_with_mixed_operations PASSED [ 25%]
runtime/tests/test_llm_call_operation.py::TestMixedOperationWorkflows::test_noop_before_llm_call PASSED [ 25%]
runtime/tests/test_llm_call_operation.py::TestLLMCallErrorHandling::test_llm_call_client_error PASSED [ 25%]
runtime/tests/test_llm_call_operation.py::TestLLMCallErrorHandling::test_llm_call_unexpected_error PASSED [ 26%]
runtime/tests/test_llm_call_operation.py::TestClientLifecycle::test_client_started_only_on_llm_call PASSED [ 26%]
runtime/tests/test_llm_call_operation.py::TestClientLifecycle::test_client_stopped_after_workflow PASSED [ 26%]
runtime/tests/test_llm_call_operation.py::TestClientLifecycle::test_client_reused_for_multiple_calls PASSED [ 26%]
runtime/tests/test_llm_call_operation.py::TestLLMCallCustomModel::test_llm_call_with_custom_model PASSED [ 26%]
runtime/tests/test_manifest_parsing.py::test_missing_manifest PASSED     [ 26%]
runtime/tests/test_manifest_parsing.py::test_incomplete_write PASSED     [ 26%]
runtime/tests/test_manifest_parsing.py::test_invalid_json PASSED         [ 26%]
runtime/tests/test_manifest_parsing.py::test_malformed_checksum PASSED   [ 27%]
runtime/tests/test_manifest_parsing.py::test_checksum_mismatch PASSED    [ 27%]
runtime/tests/test_manifest_parsing.py::test_path_special_chars PASSED   [ 27%]
runtime/tests/test_manifest_parsing.py::test_valid_paths_with_spaces PASSED [ 27%]
runtime/tests/test_manifest_parsing.py::test_checksum_line_ending_normalization PASSED [ 27%]
runtime/tests/test_mission_journal.py::TestMissionJournal::test_genesis_constant PASSED [ 27%]
runtime/tests/test_mission_journal.py::TestMissionJournal::test_first_entry_uses_genesis PASSED [ 27%]
runtime/tests/test_mission_journal.py::TestMissionJournal::test_chain_links_entries PASSED [ 27%]
runtime/tests/test_mission_journal.py::TestMissionJournal::test_chain_root_is_last_hash PASSED [ 28%]
runtime/tests/test_mission_journal.py::TestMissionJournal::test_verify_integrity_passes_intact_chain PASSED [ 28%]
runtime/tests/test_mission_journal.py::TestMissionJournal::test_verify_integrity_detects_tampering PASSED [ 28%]
runtime/tests/test_mission_journal.py::TestMissionJournal::test_record_operation_stores_receipt PASSED [ 28%]
runtime/tests/test_mission_journal.py::TestJournalExport::test_export_bundle_structure PASSED [ 28%]
runtime/tests/test_mission_journal.py::TestJournalExport::test_export_is_json_serializable PASSED [ 28%]
runtime/tests/test_mission_journal.py::TestDeterminism::test_stable_hash_for_same_content PASSED [ 28%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle1PublicAPI::test_public_api_imports PASSED [ 29%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle1PublicAPI::test_version_exists_and_is_semver PASSED [ 29%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle1PublicAPI::test_version_constant_is_exported PASSED [ 29%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle2SchemaConformance::test_mission_id_structure PASSED [ 29%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle2SchemaConformance::test_mission_definition_structure PASSED [ 29%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle2SchemaConformance::test_mission_definition_defaults PASSED [ 29%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle2SchemaConformance::test_mission_registry_state_structure PASSED [ 29%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle3CanonicalJSON::test_canonical_json_is_stable PASSED [ 29%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle3CanonicalJSON::test_canonical_json_settings_are_pinned PASSED [ 30%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle3CanonicalJSON::test_canonical_json_roundtrip PASSED [ 30%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle4HashStability::test_state_hash_is_stable PASSED [ 30%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle4HashStability::test_different_states_different_hashes PASSED [ 30%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle5ValidationBoundaries::test_validate_mission_id_rejects_empty PASSED [ 30%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle5ValidationBoundaries::test_validate_mission_id_rejects_whitespace_only PASSED [ 30%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle5ValidationBoundaries::test_validate_definition_rejects_empty_name PASSED [ 30%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle5ValidationBoundaries::test_validate_definition_rejects_overlong_name PASSED [ 30%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle5ValidationBoundaries::test_validate_definition_rejects_overlong_description PASSED [ 31%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle5ValidationBoundaries::test_validate_definition_rejects_too_many_tags PASSED [ 31%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle5ValidationBoundaries::test_validate_definition_rejects_overlong_tag PASSED [ 31%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle6Immutability::test_mission_id_is_frozen PASSED [ 31%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle6Immutability::test_mission_definition_is_frozen PASSED [ 31%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle6Immutability::test_registry_operations_return_new_instances PASSED [ 31%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle7MetadataCanonicalOrdering::test_metadata_permutations_produce_same_canonical_json PASSED [ 31%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle8TagOrderPolicy::test_different_tag_orders_produce_different_hashes PASSED [ 31%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle8TagOrderPolicy::test_same_tag_order_produces_same_hash PASSED [ 32%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle9RegistryOperations::test_registry_enforces_id_length_boundary_on_register PASSED [ 32%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle9RegistryOperations::test_registry_enforces_boundaries_on_update PASSED [ 32%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle9RegistryOperations::test_remove_raises_on_missing_id PASSED [ 32%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle9RegistryOperations::test_metadata_serialization_check PASSED [ 32%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle10ChairConditions::test_registry_enforces_capacity_limit PASSED [ 32%]
runtime/tests/test_mission_registry/test_mission_registry_v0_1.py::TestCycle10ChairConditions::test_metadata_enforces_size_limits PASSED [ 32%]
